ArrayTaskID ag aw kw0 kw1 kg0 kg1 f Cg
1 0.1 0.0 0 5 10 13 3.0 1.0
2 0.1 0.1 0 5 10 13 3.0 1.0
3 0.1 0.2 0 5 10 13 3.0 1.0
4 0.1 0.3 0 5 10 13 3.0 1.0
5 0.1 0.4 0 5 10 13 3.0 1.0
6 0.1 0.5 0 5 10 13 3.0 1.0
7 0.1 0.3 0 5 10 13 0.1 1.0
8 0.1 0.3 0 5 10 13 0.2 1.0
9 0.1 0.3 0 5 10 13 0.5 1.0
10 0.1 0.3 0 5 10 13 1.0 1.0
11 0.1 0.3 0 5 10 13 2.0 1.0
12 0.1 0.3 0 5 10 13 4.0 1.0
13 0.1 0.3 0 5 10 13 3.0 0.1
14 0.1 0.3 0 5 10 13 3.0 0.2
15 0.1 0.3 0 5 10 13 3.0 0.4
16 0.1 0.3 0 5 10 13 3.0 2.0
17 0.1 0.3 0 5 10 13 3.0 4.0
